country_ISO_code,population,ischaemic_heart_disease,stroke,chronic_obstructive_pulmonary_disease,lower_respiratory_infections,neonatal_conditions,trachae_lung_bronchus_cancer,alzheimers_disease_dementia,diahorreal_diseases,diabetes_mellitus,kidney_diseases,,,,,,,,,,,,,
AFG,38042,301.7,128.6,37.0,49.8,30.5,6.9,22.3,9.7,40.9,46.1,,,,,,,,,,,,,
ALB,2881,178.8,151.7,17.5,13.7,6.6,21.5,36.9,0.3,4.2,8.4,,,,,,,,,,,,,
DZA,43053,154.4,65.8,13.3,17.4,15.5,11.0,16.1,2.2,13.2,21.1,,,,,,,,,,,,,
AGO,31825,107.9,129.9,28.3,99.4,29.6,3.8,20.1,67.1,42.6,24.1,,,,,,,,,,,,,
ATG,97,77.6,63.4,15.3,21.5,3.0,6.0,6.1,0.8,51.1,22.9,,,,,,,,,,,,,
ARG,44781,75.1,46.6,35.5,60.5,6.0,18.0,4.9,0.9,11.7,21.5,,,,,,,,,,,,,
ARM,2958,201.5,55.5,18.1,27.5,7.2,25.2,0.9,0.4,17.0,10.6,,,,,,,,,,,,,
AUS,25203,37.4,17.2,15.3,7.0,2.2,19.0,22.6,0.5,8.5,5.2,,,,,,,,,,,,,
AUT,8955,67.3,21.2,17.2,5.8,1.8,22.8,13.3,0.5,8.5,7.8,,,,,,,,,,,,,
AZE,10048,388.4,158.5,21.6,19.9,12.1,13.1,17.4,3.0,25.0,17.1,,,,,,,,,,,,,
BHS,389,89.1,67.5,9.2,27.4,6.1,7.4,16.8,1.5,40.3,30.9,,,,,,,,,,,,,
BHR,1641,157.8,49.4,28.4,20.5,5.2,13.8,24.3,2.6,131.8,34.9,,,,,,,,,,,,,
BGD,163046,94.3,121.9,41.7,23.0,19.0,10.2,13.9,29.6,25.5,9.1,,,,,,,,,,,,,
BRB,287,55.5,63.0,10.7,30.4,7.8,8.2,14.4,1.4,40.4,16.3,,,,,,,,,,,,,
BLR,9452,282.3,115.8,12.0,7.0,1.7,18.5,15.9,0.1,2.2,2.7,,,,,,,,,,,,,
BEL,11539,44.6,22.7,20.2,14.7,2.0,28.5,22.3,1.1,4.2,7.6,,,,,,,,,,,,,
BLZ,390,73.4,53.5,18.0,34.3,7.9,11.7,16.7,2.8,53.8,37.0,,,,,,,,,,,,,
BEN,11801,113.3,125.9,25.5,112.9,33.5,1.1,20.2,67.4,37.5,33.5,,,,,,,,,,,,,
BTN,763,117.5,62.3,87.8,27.1,16.5,7.7,16.7,26.2,27.6,24.5,,,,,,,,,,,,,
BOL,11513,100.6,65.0,32.4,69.5,15.4,8.7,19.9,7.4,48.3,55.8,,,,,,,,,,,,,
BIH,3301,139.3,120.3,17.2,7.3,4.0,33.9,17.1,0.2,35.9,10.6,,,,,,,,,,,,,
BWA,2304,133.5,145.5,40.6,110.7,20.5,3.4,18.9,30.7,99.9,38.8,,,,,,,,,,,,,
BRA,211050,68.1,60.3,24.2,38.6,8.7,13.2,11.9,2.5,24.6,15.5,,,,,,,,,,,,,
BRN,433,90.7,86.5,27.0,25.0,5.8,24.8,33.9,1.3,56.4,33.9,,,,,,,,,,,,,
BGR,7000,210.8,140.1,23.0,10.7,3.8,23.6,0.8,0.4,8.1,11.8,,,,,,,,,,,,,
BFA,20321,131.8,110.8,18.7,122.3,29.1,3.0,21.0,83.6,37.7,31.2,,,,,,,,,,,,,
BDI,11531,106.9,129.4,39.2,108.1,24.4,1.9,18.7,82.8,36.3,23.9,,,,,,,,,,,,,
CPV,550,122.7,103.1,15.7,59.1,8.3,12.1,16.9,9.5,29.8,21.6,,,,,,,,,,,,,
KHM,16487,109.5,151.0,35.6,90.0,15.4,15.8,19.5,18.3,33.0,19.5,,,,,,,,,,,,,
CMR,25876,122.4,130.1,26.4,116.0,27.8,2.8,20.7,55.9,57.0,46.5,,,,,,,,,,,,,
CAN,37411,45.2,15.9,15.9,7.7,3.7,27.2,27.9,0.9,7.2,5.0,,,,,,,,,,,,,
CAF,4745,161.6,207.0,56.7,163.6,37.2,2.5,17.6,186.5,59.4,35.4,,,,,,,,,,,,,
TCD,15947,117.2,118.8,29.3,155.4,34.4,1.7,19.5,116.5,35.7,30.5,,,,,,,,,,,,,
CHL,18952,36.7,38.5,12.9,12.5,4.2,12.8,11.6,1.1,11.0,13.5,,,,,,,,,,,,,
CHN,1441860,97.6,144.5,54.2,11.3,3.8,36.6,17.4,0.7,8.6,10.4,,,,,,,,,,,,,
COL,50339,76.1,30.9,27.5,19.3,7.6,9.7,3.6,1.4,9.1,12.3,,,,,,,,,,,,,
COM,851,105.0,99.8,25.9,96.6,32.6,0.2,20.7,56.3,38.0,27.0,,,,,,,,,,,,,
COG,5381,133.7,115.8,31.5,86.3,21.0,2.8,20.2,44.0,51.0,29.8,,,,,,,,,,,,,
CRI,5048,40.7,26.4,15.1,13.2,4.8,5.6,11.6,1.4,14.9,23.4,,,,,,,,,,,,,
CIV,25717,124.2,118.3,26.1,118.4,35.9,2.8,19.3,51.1,42.2,37.0,,,,,,,,,,,,,
HRV,4130,104.1,64.4,17.7,8.4,3.4,32.3,8.0,0.6,16.5,11.2,,,,,,,,,,,,,
CUB,11333,97.6,54.7,24.2,36.6,2.9,29.4,21.9,1.0,8.5,8.3,,,,,,,,,,,,,
CYP,1199,52.9,22.0,15.4,4.2,2.2,16.6,16.6,2.4,14.7,9.1,,,,,,,,,,,,,
CZE,10689,118.9,34.5,16.8,16.6,2.1,24.0,13.7,1.0,15.4,6.5,,,,,,,,,,,,,
PRK,25666,105.4,204.0,87.7,22.8,9.2,37.7,16.3,1.7,11.8,13.0,,,,,,,,,,,,,
COD,86791,108.5,121.5,44.1,117.3,28.1,3.5,19.8,56.0,36.8,24.4,,,,,,,,,,,,,
DNK,5772,36.0,26.0,29.3,13.5,3.2,28.8,29.4,0.9,9.1,5.8,,,,,,,,,,,,,
DJI,974,121.3,123.4,22.0,98.2,31.2,2.9,21.8,49.6,47.8,30.9,,,,,,,,,,,,,
DOM,10739,144.4,86.1,13.0,20.0,18.5,12.6,15.8,4.6,27.6,20.8,,,,,,,,,,,,,
ECU,17374,58.0,35.1,14.6,28.8,7.3,6.7,14.3,2.4,26.6,37.4,,,,,,,,,,,,,
EGY,100388,268.1,70.4,20.7,25.3,12.2,8.0,13.1,3.3,28.0,32.6,,,,,,,,,,,,,
SLV,6454,82.5,26.1,20.1,33.2,6.4,4.4,4.5,2.9,21.0,72.9,,,,,,,,,,,,,
GNQ,1356,101.9,99.1,31.6,102.8,27.9,5.2,20.9,31.3,65.1,38.0,,,,,,,,,,,,,
ERI,3497,119.4,151.6,36.5,152.4,19.9,3.3,20.7,102.0,51.1,30.4,,,,,,,,,,,,,
EST,1326,80.4,43.4,6.6,10.5,1.3,23.2,5.9,0.3,5.0,4.7,,,,,,,,,,,,,
SWZ,1148,137.5,180.1,48.0,120.8,20.9,2.9,16.7,66.6,160.5,63.0,,,,,,,,,,,,,
ETH,112079,78.4,87.5,25.7,79.9,26.7,4.1,21.7,63.1,33.6,24.2,,,,,,,,,,,,,
FJI,890,229.3,99.3,24.8,32.9,11.3,6.9,15.7,16.4,243.6,43.2,,,,,,,,,,,,,
FIN,5532,58.6,27.9,8.6,2.8,1.3,17.2,54.7,0.1,3.5,2.1,,,,,,,,,,,,,
FRA,65130,30.2,18.9,8.6,8.1,3.1,27.5,19.2,0.9,5.7,4.9,,,,,,,,,,,,,
GAB,2173,107.5,114.6,23.7,73.7,20.0,8.2,20.6,21.1,64.4,38.0,,,,,,,,,,,,,
GMB,2348,142.6,108.2,29.4,113.8,27.7,3.6,19.9,41.1,37.6,32.0,,,,,,,,,,,,,
GEO,3997,214.9,211.0,15.9,13.9,5.5,18.0,21.6,0.4,24.0,12.5,,,,,,,,,,,,,
DEU,83517,56.1,23.6,18.0,7.7,2.5,24.8,15.5,1.4,6.5,7.8,,,,,,,,,,,,,
GHA,30418,119.9,111.0,26.5,99.1,24.2,1.7,17.8,30.5,44.7,30.4,,,,,,,,,,,,,
GRC,10473,63.0,38.5,13.4,18.4,2.7,30.9,9.7,0.2,4.5,12.1,,,,,,,,,,,,,
GRD,112,114.4,80.3,11.1,37.3,17.6,11.1,6.9,1.2,65.2,29.6,,,,,,,,,,,,,
GTM,17581,85.3,44.9,16.5,70.3,13.4,3.5,16.7,18.7,63.2,55.1,,,,,,,,,,,,,
GIN,12771,125.5,122.1,30.3,145.9,30.2,2.1,20.0,78.0,43.3,35.3,,,,,,,,,,,,,
GNB,1921,139.5,134.7,29.2,123.2,35.7,2.0,18.0,77.4,44.2,34.2,,,,,,,,,,,,,
GUY,783,192.9,154.6,25.4,42.2,19.4,5.3,3.3,6.6,82.6,32.9,,,,,,,,,,,,,
HTI,11263,185.5,136.9,33.3,72.3,27.7,6.8,15.1,24.6,68.2,35.0,,,,,,,,,,,,,
HND,9746,129.2,84.8,49.0,17.7,9.2,6.0,21.3,12.9,17.5,49.4,,,,,,,,,,,,,
HUN,9685,155.1,63.0,30.3,7.2,2.3,43.5,17.5,1.3,11.3,3.9,,,,,,,,,,,,,
ISL,339,54.5,20.5,18.0,9.7,2.4,21.8,35.6,0.2,4.2,4.0,,,,,,,,,,,,,
IND,1366418,140.7,70.5,87.9,35.3,21.7,7.8,14.6,64.5,25.5,19.9,,,,,,,,,,,,,
